File: creature-classifications.csv
Content:
Entry,Creature Name,Type,Subtype,Confidence,Has HP,Has HD,Has Level,Pronoun Track,Attribute Phrasing,Reasoning,Warnings
1,"Ape, carnivorous",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
2,Bandit,classed,implicit-fighter,medium,YES,NO,NO,singular,full-phb,Generic hireling type 'bandit' with flat HP (implicit fighter),
3,"Bandit, Lieutenant",classed,rank-inferred,medium,YES,NO,NO,singular,full-phb,Has flat HP and leadership title 'lieutenant' (suggests fighter),Inferred class 'fighter' from title 'lieutenant'
4,"Bat, giant cave",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
5,Batrachianoid,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
6,"Bear, black",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
7,"Boar, wild",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
8,"Brigand, crossbowmen",classed,implicit-fighter,medium,YES,NO,NO,singular,full-phb,Generic hireling type 'brigand' with flat HP (implicit fighter),
9,"Brigand, flailmen",classed,implicit-fighter,medium,YES,NO,NO,singular,full-phb,Generic hireling type 'brigand' with flat HP (implicit fighter),
10,"Brigand, Serjeant",classed,rank-inferred,medium,YES,NO,NO,singular,full-phb,Has flat HP and leadership title 'serjeant' (suggests fighter),Inferred class 'fighter' from title 'serjeant'
11,Bugbear,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
12,"Elf, Wood, bowman",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
13,"Elf, Wood, spearman",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
14,"Elf, Wood, swordsman",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
15,Ghoul,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
16,Gnoll,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
17,"Goblin, raider",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
18,"Goblin, leader (corporal)",classed,rank-inferred,medium,YES,NO,NO,singular,full-phb,Has flat HP and leadership title 'leader' (suggests fighter),Inferred class 'fighter' from title 'leader'
19,Griffon,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
20,Hobgoblin,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
21,Kobold,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
22,"Lion (mountain, forest)",monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
23,Lizardfolk,monster,,high,YES,YES,NO,singular,saves-notation,Monster race from M&T using HD,
